Match,R1,R2,R3,B1,B2,B3
171,4638,3373,6326,9072,8726,977
172,4821,686,8230,1885,2363,4505
173,6863,2186,888,2534,5115,3136
174,1629,1727,1731,449,620,614
175,3748,422,8592,1418,540,5804
176,1908,1086,611,2199,8590,4541
177,122,1895,5338,6802,401,539
178,2106,1111,346,8622,3793,339
179,5115,4821,1885,2534,3373,8726
180,836,888,2363,10224,977,1727
181,4505,4638,116,422,5804,1629
182,4541,6326,611,3748,686,449
183,540,614,2890,1908,8592,122
184,3359,1731,1895,3793,3136,1111
185,5338,346,620,401,2199,2186
186,8230,6213,2106,9072,539,6863
187,339,1086,8590,1418,6802,8622
188,1727,2363,2534,611,4638,422
189,888,122,4821,116,5804,449
190,1885,3136,540,10224,614,3359
191,346,1895,836,5338,4505,1908
192,9072,6326,2199,539,8592,1731
193,8590,3748,6802,2186,8726,2106
194,8230,977,3793,2890,620,1086
195,6213,8622,3373,686,1418,401
196,5115,1629,4541,1111,339,6863
197,5804,1908,10224,5338,611,614
198,8592,540,346,4638,1895,1727
199,422,539,2534,2363,6802,3136
200,4505,1086,3793,620,1885,9072
201,977,8590,3373,1731,122,6213
202,2186,449,1111,1418,836,6863
203,339,2890,5115,1629,6326,3748
204,8726,8230,2199,888,686,3359
205,116,401,8622,4541,2106,4821
206,8592,9072,2363,1908,6802,620
207,1086,3136,977,611,122,3793
208,1895,422,1885,346,6863,8590
209,4505,449,2534,6326,2890,10224
210,8726,5338,1731,686,1727,339
211,5804,2106,8622,540,2186,1629
212,3373,1111,401,2199,888,3748
213,614,6213,4541,836,8230,5115
214,3359,539,4638,4821,116,1418
215,6802,422,346,6326,449,977
216,2534,620,122,1895,1908,8726
217,5804,686,2890,6863,1727,2106
218,888,1111,8622,611,1885,339
219,6213,9072,5338,4541,8230,540
220,4505,10224,1629,1731,2186,1418
221,614,3373,3748,539,116,1086
222,5115,2199,2363,401,3359,3136
223,8592,3793,4638,836,4821,8590
224,1895,8622,686,422,2890,888
225,122,5804,6326,6213,1111,620
226,1418,2534,611,8230,9072,1727
227,8726,539,540,1086,346,2186
228,1629,2106,449,1885,2199,5338
229,3136,339,1908,4638,4821,401
230,6863,614,977,3359,8590,4505
231,5115,1731,6802,3748,836,116
232,3793,10224,2363,3373,8592,4541
233,948,125,2468,343,930,5142
234,9085,1323,7617,9072,10428,6431
235,7565,868,9787,5472,3937,6328
236,1825,4272,422,10077,5406,108
237,6665,7563,8590,1710,6940,5843
238,1778,10014,1502,1730,7531,10523
239,4499,6738,5535,5124,3538,6147
240,2412,2832,4909,449,5553,4905
241,294,7426,1072,2635,3044,2974
242,5468,1388,6459,1807,6996,2429
243,148,3847,3008,7444,1880,360
244,188,5026,2228,7415,624,4091
245,5406,2910,868,7538,1710,3655
246,9085,10523,10077,6665,3937,2468
247,5142,9072,1323,4272,7565,5124
248,930,6328,10014,1825,4905,8590
249,7531,3538,5843,125,6431,2635
250,422,10428,5472,5553,343,7563
251,7617,108,1880,4499,1072,9787
252,1388,2832,3044,624,2228,7444
253,3847,2429,7415,948,2910,449
254,1807,294,360,1778,5535,5026
255,4909,1502,2974,6996,6147,5468
256,6738,3008,7538,6459,4091,2412
257,188,6940,3655,148,1730,7426
258,5472,5124,343,6431,1825,10523
259,1710,108,930,2635,5142,9085
260,1880,3044,10428,5843,5406,2468
261,3538,2910,7415,9787,6665,1388
262,8590,449,2429,10077,1323,1807
263,7444,4499,4905,9072,868,2974
264,6328,1778,6738,2228,948,4909
265,7565,1072,360,1502,4091,3655
266,7531,5535,3847,422,188,6996
267,5553,6459,7617,125,148,7563
268,5026,1730,5468,3937,6147,3008
269,7538,2832,294,6940,10014,4272
270,7426,2412,3538,624,5406,9085
271,108,7444,2635,2910,5472,1807
272,2228,6738,5142,1825,2974,6665
273,10523,3655,9072,2429,5843,4909
274,868,188,1323,930,3044,360
275,4091,148,6431,4905,2468,5535
276,1730,4499,10077,1388,10428,6328
277,8590,5468,3847,1072,7538,6459
278,4272,1778,2832,6996,7415,7617
279,3937,1502,422,5124,125,2412
280,6147,449,343,3008,7565,6940
281,5553,10014,1710,1880,5026,7426
282,7563,624,7531,9787,294,948
283,10523,930,2228,5535,5406,148
284,5843,6328,4499,1807,9085,188
285,360,6431,7538,108,4909,5142
286,3538,2429,9072,2468,1825,1778
287,125,10077,6459,3044,868,5472
288,2412,6996,1323,6147,4091,6940
289,1880,6738,2910,2832,7426,422
290,4905,3937,1388,294,3847,5553
291,5124,7415,449,5468,7444,1710
292,10428,2635,4272,1502,8590,624
293,7565,6665,1730,7617,2974,948
294,1072,3655,7531,5026,7563,3008
295,343,9787,148,10014,4909,10077
296,108,6940,2468,6328,5535,2228
297,7426,1825,1807,868,7538,6147
298,4091,294,5406,3847,9072,125
299,360,2412,5553,10523,5468,4499
300,3937,188,2635,6431,6738,7444
301,948,1323,5472,1388,1710,1502
302,5843,5124,1072,2832,1730,6996
303,2974,1880,343,7531,7415,8590
304,10014,3655,10428,5142,6459,3538
305,624,422,449,7617,6665,930
306,2429,4272,3044,9085,3008,9787
307,7563,4905,1778,2910,5026,7565
308,6940,125,6738,3847,10523,108
