scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen,
AW,6,R2,4286,,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,3,,,Tried to play defense for a little while,
SY,6,B1,5804,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,1,,FALSE,P,FALSE,,0,2,,,awful intake mech. and bad geo,
LJ,6,R1,3361,,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,3,,,,
FL,6,B2,5724,R2,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,1,0,0,1,0,,FALSE,P,FALSE,,0,3,,,,
AY,6,B3,3258,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,4,0,0,0,,FALSE,P,FALSE,,0,2,,,Kit bot,
KO,6,R3,1731,R2,FALSE,TRUE,0,0,0,2,TRUE,FALSE,0,0,0,0,0,0,5,,TRUE,D,TRUE,,0,5,,,,
AY,7,B3,2998,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,2,,,Barely moved,
FL,7,B2,1522,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,2,0,2,1,,FALSE,P,FALSE,,0,3,,,,
SY,7,B1,6802,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,2,,TRUE,No,TRUE,,0,3,,,"Inconsistent L4, but good climb",
LJ,7,R1,3373,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,TRUE,D,FALSE,,0,3,,,"Parked really early, only attempted L1",
KO,7,R3,2106,R3,FALSE,TRUE,0,1,0,0,TRUE,FALSE,1,1,2,0,1,2,5,,TRUE,D,TRUE,,0,5,,,,
