Alliance,Captain,Pick 1,Pick 2,Pick 3
Alliance 1,1323,2910,4272,5026
Alliance 2,2832,1778,2468,2412
Alliance 3,422,868,3847,5535
Alliance 4,148,125,6147,1807
Alliance 5,9072,4499,624,6459
Alliance 6,3538,5406,6328,1388
Alliance 7,7426,5468,188,2974
Alliance 8,3937,294,449,4909
