team
108
116
122
125
148
188
294
339
343
346
360
401
404
422
449
539
540
611
614
617
620
623
624
686
836
868
888
930
948
977
1072
1086
1111
1262
1323
1388
1418
1502
1522
1599
1629
1710
1727
1730
1731
1778
1807
1811
1825
1880
1885
1895
1908
2106
2186
2199
2228
2363
2377
2412
2421
2429
2468
2534
2537
2635
2832
2890
2910
2974
2988
2998
3008
3044
3136
3258
3359
3361
3373
3538
3655
3714
3748
3793
3847
3937
4091
4272
4286
4464
4472
4499
4505
4541
4638
4821
4905
4909
5026
5115
5124
5142
5338
5406
5468
5472
5535
5553
5587
5724
5804
5843
6147
6213
6326
6328
6431
6459
6665
6738
6802
6863
6940
6996
7415
7426
7444
7531
7538
7563
7565
7617
7770
7886
8230
8590
8592
8622
8726
9003
9072
9085
9214
9403
9684
9709
9787
10014
10077
10224
10257
10370
10428
10449
10523
10679
