scout,match,robot,team,start,show,move,auto_coral_missed,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,3,B2,3937,C,FALSE,TRUE,0,0,0,0,3,TRUE,FALSE,1,2,0,0,0,2,0,0,TRUE,D,FALSE,0,0,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,3,B1,5472,M,FALSE,TRUE,0,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,3,3,NA,0,"Passable defense, some cycles defended and time wasted but could41391ve caught a lot more aggro opportunities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA,3,R1,7565,M,FALSE,FALSE,0,0,0,0,1,TRUE,FALSE,2,0,0,0,1,0,3,0,TRUE,P,TRUE,0,0,3,NA,"1,5",Can?t align well with reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR,3,R3,9787,F,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,1,TRUE,D,FALSE,0,3,3,ba,0,"They got reverse defense played on them, and this resulted in the other substation being free for other alliance members to score.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,4,B1,10077,M,FALSE,TRUE,0,1,0,0,0,FALSE,FALSE,0,0,0,5,0,0,0,5,FALSE,P,FALSE,0,0,2,NA,,"Top heavy kit-bot with alright L1,  thing else. Driver could use some work with station alignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,4,B2,5406,C,FALSE,TRUE,0,0,0,0,3,TRUE,FALSE,0,0,0,1,5,2,0,1,FALSE,P,TRUE,0,0,3,NA,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX,4,B3,108,F,FALSE,TRUE,1,0,0,0,2,TRUE,TRUE,1,1,0,0,1,4,2,1,TRUE,P,FALSE,0,0,3,NA,1,When climbing robot was very slow. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank,4,R3,422,C,FALSE,TRUE,1,0,0,0,2,TRUE,FALSE,0,0,2,6,6,4,4,1,TRUE,D,TRUE,0,0,5,NA,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,4,R2,4272,F,FALSE,TRUE,0,0,0,0,3,FALSE,FALSE,0,0,0,0,4,4,2,0,TRUE,D,TRUE,0,0,4,NA,1,Had a bit of trouble getting a coral intake at one point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBS,4,R1,1825,M,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,0,0,0,1,3,5,0,0,TRUE,P,FALSE,0,0,3,NA,,May have descored a coral ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
