"","event_code","up_to_match","probability"
"1","2025new",20,90
"2","2025new",21,90.4761904761905
"3","2025new",22,90.9090909090909
"4","2025new",23,86.9565217391304
"5","2025new",24,87.5
"6","2025new",25,84
"7","2025new",26,84.6153846153846
"8","2025new",27,85.1851851851852
"9","2025new",28,82.1428571428571
"10","2025new",29,82.7586206896552
"11","2025new",30,83.3333333333333
"12","2025new",31,83.8709677419355
"13","2025new",32,84.375
"14","2025new",33,84.8484848484848
"15","2025new",34,85.2941176470588
"16","2025new",35,85.7142857142857
"17","2025new",36,83.3333333333333
"18","2025new",37,81.0810810810811
"19","2025new",38,81.578947368421
"20","2025new",39,82.051282051282
"21","2025new",40,80
"22","2025new",41,78.0487804878049
"23","2025new",42,78.5714285714286
"24","2025new",43,76.7441860465116
"25","2025new",44,77.2727272727273
"26","2025new",45,77.7777777777778
"27","2025new",46,80.4347826086957
"28","2025new",47,80.8510638297872
"29","2025new",48,81.25
"30","2025new",49,81.6326530612245
"31","2025new",50,82
"32","2025new",51,82.3529411764706
"33","2025new",52,82.6923076923077
"34","2025new",53,83.0188679245283
"35","2025new",54,79.6296296296296
"36","2025new",55,80
"37","2025new",56,80.3571428571429
"38","2025new",57,80.7017543859649
"39","2025new",58,77.5862068965517
"40","2025new",59,74.5762711864407
"41","2025new",60,75
"42","2025new",61,77.0491803278689
"43","2025new",62,77.4193548387097
"44","2025new",63,76.1904761904762
"45","2025new",64,75
"46","2025new",65,75.3846153846154
"47","2025new",66,75.7575757575758
"48","2025new",67,76.1194029850746
"49","2025new",68,76.4705882352941
"50","2025new",69,76.8115942028985
"51","2025new",70,77.1428571428572
"52","2025new",71,78.8732394366197
"53","2025new",72,79.1666666666667
"54","2025new",73,79.4520547945205
"55","2025new",74,78.3783783783784
"56","2025new",75,78.6666666666667
"57","2025new",76,80.2631578947368
"58","2025new",77,80.5194805194805
"59","2025new",78,80.7692307692308
"60","2025new",79,81.0126582278481
"61","2025new",80,81.25
"62","2025new",81,81.4814814814815
"63","2025new",82,79.2682926829268
"64","2025new",83,81.9277108433735
"65","2025new",84,82.1428571428571
"66","2025new",85,80
"67","2025new",86,80.2325581395349
"68","2025new",87,82.7586206896552
"69","2025new",88,81.8181818181818
"70","2025new",89,79.7752808988764
"71","2025new",90,81.1111111111111
"72","2025new",91,82.4175824175824
"73","2025new",92,82.6086956521739
"74","2025new",93,82.7956989247312
"75","2025new",94,81.9148936170213
"76","2025new",95,81.0526315789474
"77","2025new",96,81.25
"78","2025new",97,82.4742268041237
"79","2025new",98,82.6530612244898
"80","2025new",99,80.8080808080808
"81","2025new",100,83
"82","2025new",101,81.1881188118812
"83","2025new",102,82.3529411764706
"84","2025new",103,80.5825242718447
"85","2025new",104,80.7692307692308
"86","2025new",105,80
"87","2025new",106,81.1320754716981
"88","2025new",107,82.2429906542056
"89","2025new",108,83.3333333333333
"90","2025new",109,82.5688073394495
"91","2025new",110,83.6363636363636
"92","2025new",111,83.7837837837838
"93","2025new",112,83.0357142857143
"94","2025new",113,84.070796460177
"95","2025new",114,83.3333333333333
"96","2025new",115,82.6086956521739
"97","2025new",116,83.6206896551724
"98","2025new",117,84.6153846153846
"99","2025new",118,86.4406779661017
"100","2025new",119,86.5546218487395
"101","2025new",120,81.6666666666667
"102","2025new",121,81.8181818181818
"103","2025new",122,81.9672131147541
"104","2025new",123,83.739837398374
"105","2025new",124,82.258064516129
"106","2025new",125,84.8
