"","event_code","up_to_match","probability"
"1","2025vagle",20,63.2352941176471
"2","2025vagle",21,66.1764705882353
"3","2025vagle",22,64.7058823529412
"4","2025vagle",23,66.1764705882353
"5","2025vagle",24,63.2352941176471
"6","2025vagle",25,63.2352941176471
"7","2025vagle",26,64.7058823529412
"8","2025vagle",27,66.1764705882353
"9","2025vagle",28,66.1764705882353
"10","2025vagle",29,64.7058823529412
"11","2025vagle",30,67.6470588235294
"12","2025vagle",31,63.2352941176471
"13","2025vagle",32,66.1764705882353
"14","2025vagle",33,66.1764705882353
"15","2025vagle",34,66.1764705882353
"16","2025vagle",35,66.1764705882353
"17","2025vagle",36,66.1764705882353
"18","2025vagle",37,66.1764705882353
"19","2025vagle",38,66.1764705882353
"20","2025vagle",39,66.1764705882353
"21","2025vagle",40,66.1764705882353
"22","2025vagle",41,67.6470588235294
"23","2025vagle",42,67.6470588235294
"24","2025vagle",43,67.6470588235294
"25","2025vagle",44,67.6470588235294
"26","2025vagle",45,69.1176470588235
"27","2025vagle",46,69.1176470588235
"28","2025vagle",47,70.5882352941177
"29","2025vagle",48,67.6470588235294
"30","2025vagle",49,69.1176470588235
"31","2025vagle",50,69.1176470588235
"32","2025vagle",51,72.0588235294118
"33","2025vagle",52,70.5882352941177
"34","2025vagle",53,72.0588235294118
"35","2025vagle",54,69.1176470588235
"36","2025vagle",55,67.6470588235294
"37","2025vagle",56,69.1176470588235
"38","2025vagle",57,67.6470588235294
"39","2025vagle",58,70.5882352941177
"40","2025vagle",59,69.1176470588235
"41","2025vagle",60,69.1176470588235
"42","2025vagle",61,70.5882352941177
"43","2025vagle",62,72.0588235294118
"44","2025vagle",63,70.5882352941177
"45","2025vagle",64,67.6470588235294
"46","2025vagle",65,67.6470588235294
"47","2025vagle",66,72.0588235294118
"48","2025vagle",67,75
"49","2025vagle",68,72.0588235294118
