region,actual,actual01,actual23,expected,expected01,expected23,diff,diff01,diff23,ratio,ratio01,ratio23,size
Québec,1,0,1,4.35,2.175,2.175,-3.35,-2.175,-1.175,0.23,0,0.46,82
Romania,0,0,0,0.02,0.01,0.01,-0.02,-0.01,-0.01,0,0,0,1
Rwanda,0,0,0,0.01,0.005,0.005,-0.01,-0.005,-0.005,0,0,0,1
Saskatchewan,0,0,0,0.18,0.09,0.09,-0.18,-0.09,-0.09,0,0,0,6
Singapore,0,0,0,0.1,0.05,0.05,-0.1,-0.05,-0.05,0,0,0,1
South Africa,0,0,0,0.02,0.01,0.01,-0.02,-0.01,-0.01,0,0,0,2
South Carolina,0,0,0,3.91,1.955,1.955,-3.91,-1.955,-1.955,0,0,0,64
South Dakota,0,0,0,0.14,0.07,0.07,-0.14,-0.07,-0.07,0,0,0,2
Suriname,0,0,0,0.01,0.005,0.005,-0.01,-0.005,-0.005,0,0,0,1
Sweden,0,0,0,0.03,0.015,0.015,-0.03,-0.015,-0.015,0,0,0,2
Switzerland,0,0,0,0.1,0.05,0.05,-0.1,-0.05,-0.05,0,0,0,3
Syria,0,0,0,0.03,0.015,0.015,-0.03,-0.015,-0.015,0,0,0,1
Tennessee,1,0,1,3.26,1.63,1.63,-2.26,-1.63,-0.63,0.307,0,0.613,69
Türkiye,2,1,1,7.91,3.955,3.955,-5.91,-2.955,-2.955,0.253,0.253,0.253,290
Ukraine,0,0,0,0.01,0.005,0.005,-0.01,-0.005,-0.005,0,0,0,1
United Arab Emirates,0,0,0,0.02,0.01,0.01,-0.02,-0.01,-0.01,0,0,0,1
United Kingdom,0,0,0,0.27,0.135,0.135,-0.27,-0.135,-0.135,0,0,0,5
Utah,0,0,0,2.16,1.08,1.08,-2.16,-1.08,-1.08,0,0,0,42
Venezuela,0,0,0,0.01,0.005,0.005,-0.01,-0.005,-0.005,0,0,0,1
Vietnam,0,0,0,0.05,0.025,0.025,-0.05,-0.025,-0.025,0,0,0,1
West Virginia,2,0,2,0.34,0.17,0.17,1.66,-0.17,1.83,5.882,0,11.765,5
West/Central PA,1,0,1,2.57,1.285,1.285,-1.57,-1.285,-0.285,0.389,0,0.778,45
Wisconsin,2,2,0,5.73,2.865,2.865,-3.73,-0.865,-2.865,0.349,0.698,0,87
Wyoming,1,0,1,0.36,0.18,0.18,0.64,-0.18,0.82,2.778,0,5.556,4
Yukon Territory,0,0,0,0.01,0.005,0.005,-0.01,-0.005,-0.005,0,0,0,1
