scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
BH,5,B1,977,C,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,2,5,0,TRUE,No,FALSE,0,0,3,NA,,Slammed into while trying to climb which affect their climbing ability. Also they moved but didn41391t catch how many coral they got 
MF,5,B3,539,F,FALSE,TRUE,2,0,0,0,FALSE,FALSE,0,0,0,4,5,0,0,0,FALSE,No,FALSE,0,0,3,NA,,There is a chance that 1-2 were missed
Ashwin,5,R3,836,F,FALSE,TRUE,1,0,0,0,TRUE,TRUE,1,0,0,3,2,0,2,1,TRUE,D,FALSE,0,0,3,NA,"1,7","Attempted to grab 3 algae total, got hold of but dropped 2. Ground Intook pretty much all coral it attempted"
JA,6,R2,4505,F,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,0,2,2,5,FALSE,No,FALSE,0,0,3,NA,,Missed a lot of coral 
TC,6,R1,1086,C,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,5,6,FALSE,P,FALSE,2,0,3,NA,,
BH,6,B1,422,F,FALSE,TRUE,0,0,0,3,TRUE,FALSE,2,1,0,0,3,1,0,0,TRUE,D,FALSE,0,3,3,ba,,They got beached and get helped off not once but twice 
GEH,6,B2,5338,M,FALSE,TRUE,0,0,0,0,TRUE,FALSE,1,1,0,3,2,4,0,3,FALSE,No,FALSE,0,0,5,NA,1,"Their momentum came close to tipping them many times. Other than that, had fast cycle times and was good."
CVC,6,R1,611,M,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,7,0,0,2,0,FALSE,No,FALSE,0,0,3,NA,,"Wasn41391t too successful at scoring high, had a bit of trouble in taking coral, mainly scored L1"
Ashwin,6,R3,5115,C,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,2,0,1,FALSE,P,TRUE,0,0,2,NA,"6,5",Almost tipped by defense from 422. Dropped most of the coral before in range to score
BH,7,B1,6326,M,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,2,2,NA,,
