scout,match,robot,team,start,show,move,auto_coral_missed,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
MH,33,R3,2491,,TRUE,TRUE,0,0,0,0,1.86,TRUE,FALSE,2.56,0,0.04,2.09,2.52,3.14,5.11,0,TRUE,D,FALSE,0,0,0,,,
MH,34,B1,2767,,TRUE,TRUE,0,0,0,0,2.28,TRUE,FALSE,4.34,0,0,0.56,3.65,4.74,5.08,0,TRUE,D,FALSE,0,0,0,,,
MH,35,B2,2826,,TRUE,TRUE,0,0,0,0,1.63,TRUE,FALSE,0.28,0,0.6,1.03,3.07,3.9,4.06,0,TRUE,D,FALSE,0,0,0,,,
MH,36,B3,2832,,TRUE,TRUE,0,0,0,0,2.36,TRUE,FALSE,1.44,0,0.89,1.43,4.07,4.32,4.58,0,TRUE,D,FALSE,0,0,0,,,
MH,37,R1,3276,,TRUE,TRUE,0,0,0,0,1.13142857,TRUE,FALSE,2.92,0,0.12,2.12,4.16,5.04,6.7,0,TRUE,D,FALSE,0,0,0,,,
MH,38,R2,3357,,TRUE,TRUE,0,0,0,0,0.78571429,TRUE,FALSE,0.32,0,0.22,1.93,3.09,2.24,4.79,0,TRUE,D,FALSE,0,0,0,,,
MH,39,R3,3414,,TRUE,TRUE,0,0,0,0,1.75714286,TRUE,FALSE,3.17,0,0.49,1.51,1.98,4,4.61,0,TRUE,D,FALSE,0,0,0,,,
MH,40,B1,3494,,TRUE,TRUE,0,0,0,0,1.10142857,TRUE,FALSE,0.65,0,0.09,3.29,4.25,4.52,2.41,0,TRUE,D,FALSE,0,0,0,,,
MH,41,B2,3538,,TRUE,TRUE,0,0,0,0,2.2,TRUE,FALSE,3.17,0,0.26,1.72,4.16,4.03,5.52,0,TRUE,D,FALSE,0,0,0,,,
MH,42,B3,3663,,TRUE,TRUE,0,0,0,0,2.14142857,TRUE,FALSE,2.84,0,0.26,3.1,5.58,5.07,4.33,0,TRUE,D,FALSE,0,0,0,,,
