scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,auto_coral_missed,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
Frank,10,B3,10257,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,2,NA,,Sort of effective defense. Helped404
GL,11,R3,9709,R3,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,3,NA,,
JJ,11,B3,5724,R3,FALSE,TRUE,0,0,0,0,0,FALSE,TRUE,0,0,1,0,0,1,0,0,FALSE,P,FALSE,0,0,2,NA,,
YZ,11,B1,3361,R2,TRUE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,3,NA,,
BH,11,R1,5804,R1,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,4,0,FALSE,P,FALSE,0,0,3,NA,,
AM,11,B2,1262,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,4,0,0,FALSE,No,FALSE,0,0,3,NA,,
NY,11,R2,4505,R2,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,3,0,FALSE,No,FALSE,0,0,2,NA,,
RN,12,B3,4286,R2,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,1,NA,,
YZ,12,B1,9003,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,1,2,3,0,FALSE,P,FALSE,0,0,4,NA,,
GL,12,R3,10370,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,7,0,0,0,0,FALSE,No,FALSE,0,0,3,NA,,
BH,12,R1,8592,R1,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,1,0,0,0,2,5,5,0,FALSE,D,FALSE,0,0,3,NA,,
AM,12,B2,346,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,3,0,2,0,0,FALSE,P,FALSE,0,0,3,NA,,
SR,12,R2,1086,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,2,0,1,0,0,0,FALSE,P,FALSE,0,0,2,NA,,
YR,13,B3,3258,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,6,0,0,0,0,FALSE,P,FALSE,0,0,1,NA,,
JJ,13,B2,404,R2,FALSE,TRUE,0,0,0,0,0,TRUE,TRUE,0,0,6,0,0,0,0,0,FALSE,No,FALSE,0,0,2,NA,,
AY,13,R3,540,R3,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,6,5,0,0,FALSE,No,FALSE,0,0,4,NA,,
KO,13,R2,10257,R2,FALSE,TRUE,0,0,0,0,0,FALSE,TRUE,1,0,1,0,0,0,1,0,FALSE,P,FALSE,0,0,3,NA,,
EG,13,R1,2106,R1,FALSE,TRUE,0,0,0,1,0,TRUE,FALSE,0,0,0,0,1,2,5,0,TRUE,P,FALSE,0,0,4,NA,,
BH,13,B1,617,R3,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,2,NA,,
YR,14,B3,539,R1,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,2,0,1,0,0,FALSE,P,FALSE,0,0,1,NA,,
YZ,14,R2,5724,R1,FALSE,TRUE,0,0,0,0,0,FALSE,TRUE,0,0,1,0,0,0,0,0,FALSE,P,FALSE,0,0,2,NA,,
JJ,14,B2,4472,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,3,0,0,0,0,0,FALSE,P,FALSE,0,0,3,NA,,Their coral intake is really bad
BH,14,B1,2998,R3,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,4,NA,,Good defense
SR,14,R1,1731,R2,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,3,5,0,TRUE,D,FALSE,0,0,4,NA,,Recount tele coral
MH,14,R3,449,R2,FALSE,TRUE,0,0,0,1,0,FALSE,FALSE,0,0,0,0,4,2,5,0,FALSE,P,FALSE,0,0,5,NA,,
